Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
UL53797,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53819,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53451,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53543,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UCIQ020,-2%,-2,PM : 000-TPM : Descr : Trailer PM Service,7/21/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53527,-3%,-3,PM : 000-DOT : Descr : Annual DOT Inspection,7/22/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53542,-3%,-3,PM : 000-TPM : Descr : Trailer PM Service,7/22/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53519,-4%,-4,PM : 000-TPM : Descr : Trailer PM Service,7/23/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53754,-4%,-4,PM : 000-TPM : Descr : Trailer PM Service,7/23/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53741,-4%,-4,PM : 000-TPM : Descr : Trailer PM Service,7/23/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53702,-7%,-6,PM : 000-TPM : Descr : Trailer PM Service,7/25/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53852,-7%,-6,PM : 000-TPM : Descr : Trailer PM Service,7/25/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53868,-7%,-6,PM : 000-TPM : Descr : Trailer PM Service,7/25/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53368,-7%,-6,PM : 000-TPM : Descr : Trailer PM Service,7/25/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53422,-7%,-6,PM : 000-TPM : Descr : Trailer PM Service,7/25/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53600,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53603,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53453,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF023,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53679,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53609,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53793,-8%,-7,PM : 000-TPM : Descr : Trailer PM Service,7/26/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
